"UNICODE" "LATITUDE" "LONGITUDE" "quant" "block"
"1.11.1.28" -16.39174925 -71.52768598 "4" "1"
"1.11.1.29" -16.39183414 -71.52764607 "4" "1"
"1.11.1.47" -16.39317938 -71.52770688 "4" "1"
"1.11.1.46" -16.39318942 -71.52761652 "4" "1"
"1.11.1.30" -16.39194523 -71.52762056 "4" "1"
"1.11.1.63" -16.39227413 -71.52733435 "4" "2"
"1.11.1.31" -16.39205799 -71.52757709 "4" "1"
"1.11.1.41B" -16.39292921 -71.5275394 "4" "1"
"1.11.1.32" -16.39214964 -71.52754763 "4" "1"
"1.11.1.39" -16.39276593 -71.52753821 "4" "1"
"1.11.1.20" -16.39121845 -71.52791031 "4" "1"
"1.11.1.21" -16.39127646 -71.52788519 "4" "1"
"1.11.1.73" -16.39314892 -71.52683058 "4" "2"
"1.11.1.19" -16.39136833 -71.52802697 "4" "1"
"1.11.1.22" -16.3913412 -71.52785634 "4" "1"
"1.11.1.74" -16.39315455 -71.52692761 "4" "2"
"1.11.1.75" -16.39313601 -71.52697617 "4" "2"
"1.11.1.23" -16.39142287 -71.52781181 "4" "1"
"1.11.1.72" -16.3930021 -71.52691591 "4" "2"
"1.11.1.76" -16.39315984 -71.52703741 "3" "2"
"1.11.1.18" -16.39155707 -71.52801254 "3" "1"
"1.11.1.77" -16.39315769 -71.52708931 "3" "2"
"1.11.1.1" -16.39322435 -71.52830282 "3" "1"
"1.11.1.24" -16.39149176 -71.52779116 "3" "1"
"1.11.1.77A" -16.39315624 -71.52711767 "3" "2"
"1.11.1.25" -16.39152145 -71.52777984 "3" "1"
"1.11.1.77B" -16.39315263 -71.52713913 "3" "2"
"1.11.1.77C" -16.3931502 -71.52716229 "3" "2"
"1.11.1.71" -16.3928934 -71.52698034 "3" "2"
"1.11.1.78" -16.39315073 -71.52720726 "3" "2"
"1.11.1.17" -16.39166307 -71.52798142 "3" "1"
"1.11.1.26" -16.39158074 -71.52775271 "3" "1"
"1.11.1.70" -16.39281478 -71.52699793 "3" "2"
"1.11.1.51" -16.39318154 -71.52734024 "3" "2"
"1.11.1.2" -16.39300614 -71.52829921 "3" "1"
"1.11.1.52" -16.39311737 -71.5273606 "3" "2"
"1.11.1.69" -16.39272531 -71.52705377 "3" "2"
"1.11.1.50" -16.39320316 -71.52802377 "3" "1"
"1.11.1.27" -16.39167987 -71.52769688 "2" "1"
"1.11.1.16" -16.39177883 -71.5279741 "2" "1"
"1.11.1.27A" -16.39171304 -71.52770554 "2" "1"
"1.11.1.53" -16.3930479 -71.52735416 "2" "2"
"1.11.1.3" -16.39285631 -71.52827775 "2" "1"
"1.11.1.15" -16.39185486 -71.52797275 "2" "1"
"1.11.1.49" -16.39317047 -71.52792767 "2" "1"
"1.11.1.68" -16.39260267 -71.52711069 "2" "2"
"1.11.1.54" -16.39295086 -71.52733893 "2" "2"
"1.11.1.4" -16.39271898 -71.52827175 "2" "1"
"1.11.1.55" -16.39291102 -71.5273381 "2" "2"
"1.11.1.48" -16.39318662 -71.52782249 "2" "1"
"1.11.1.14" -16.39194207 -71.52797296 "2" "1"
"1.11.1.67" -16.39246501 -71.52714361 "2" "2"
"1.11.1.56" -16.39282605 -71.52734402 "2" "2"
"1.11.1.45" -16.39318833 -71.527538 "2" "1"
"1.11.1.5" -16.39271668 -71.5281784 "2" "1"
"1.11.1.13" -16.39202061 -71.52797689 "2" "1"
"1.11.1.66" -16.39233778 -71.52718313 "1" "2"
"1.11.1.65" -16.39222968 -71.52720433 "1" "2"
"1.11.1.15B" -16.39271805 -71.52813989 "1" "1"
"1.11.1.57" -16.39274702 -71.5273446 "1" "2"
"1.11.1.44" -16.39313453 -71.52752226 "1" "1"
"1.11.1.57A" -16.39272239 -71.5273461 "1" "2"
"1.11.1.57B" -16.39270508 -71.52734722 "1" "2"
"1.11.1.15C" -16.3927322 -71.52809559 "1" "1"
"1.11.1.12" -16.39209142 -71.5279701 "1" "1"
"1.11.1.64" -16.39209582 -71.52731101 "1" "2"
"1.11.1.58" -16.3926615 -71.52734147 "1" "2"
"1.11.1.30A" -16.39197725 -71.5276099 "1" "1"
"1.11.1.43" -16.3930793 -71.52753654 "1" "1"
"1.11.1.59" -16.39260362 -71.52733289 "1" "2"
"1.11.1.11" -16.39215386 -71.52798114 "1" "1"
"1.11.1.6" -16.39268412 -71.52803854 "1" "1"
"1.11.1.10" -16.39222621 -71.52799573 "1" "1"
"1.11.1.62" -16.39238206 -71.52732766 "1" "2"
"1.11.1.60" -16.39251147 -71.52734683 "1" "2"
"1.11.1.61" -16.3924576 -71.52733511 "0" "2"
"1.11.1.9" -16.39230833 -71.52801713 "0" "1"
"1.11.1.42" -16.39301378 -71.5275367 "0" "1"
"1.11.1.7" -16.39249372 -71.52804252 "0" "1"
"1.11.1.8" -16.39240522 -71.52802014 "0" "1"
"1.11.1.41D" -16.39295823 -71.52753894 "0" "1"
"1.11.1.41C" -16.39293775 -71.52753902 "0" "1"
"1.11.1.41A" -16.39292132 -71.52753926 "0" "1"
"1.11.1.41" -16.39291334 -71.52753896 "0" "1"
"1.11.1.40C" -16.39287689 -71.52753289 "0" "1"
"1.11.1.40B" -16.39285955 -71.52753545 "0" "1"
"1.11.1.40" -16.39284303 -71.52753638 "0" "1"
"1.11.1.33" -16.39220835 -71.52756236 "0" "1"
"1.11.1.34" -16.39231236 -71.52752723 "0" "1"
"1.11.1.38" -16.39267689 -71.52755874 "0" "1"
"1.11.1.37A" -16.39263408 -71.52755577 "0" "1"
"1.11.1.37" -16.39260381 -71.527558 "0" "1"
"1.11.1.35" -16.39241779 -71.52754097 "0" "1"
"1.11.1.36" -16.39251231 -71.52753769 "0" "1"
