"UNICODE" "LATITUDE" "LONGITUDE" "quant" "block"
"1.13.100.528" -16.40530964 -71.49130746 "4" "19"
"1.13.100.511" -16.40544318 -71.49118734 "4" "19"
"1.13.100.527" -16.40532444 -71.49137602 "4" "19"
"1.13.100.512" -16.40547198 -71.49127744 "4" "19"
"1.13.100.526" -16.40533189 -71.49145809 "4" "19"
"1.13.100.513" -16.4054965 -71.49133635 "4" "19"
"1.13.100.525" -16.4053648 -71.49153885 "4" "19"
"1.13.100.514" -16.40550269 -71.49140577 "4" "19"
"1.13.100.524" -16.40536906 -71.49160715 "4" "19"
"1.13.100.505" -16.40560214 -71.49113577 "4" "18"
"1.13.100.515" -16.40553345 -71.4914822 "4" "19"
"1.13.100.523" -16.40537019 -71.49164737 "4" "19"
"1.13.100.522" -16.40537961 -71.49170299 "4" "19"
"1.13.100.516" -16.40554324 -71.49155279 "4" "19"
"1.13.100.506" -16.40585037 -71.49105568 "4" "18"
"1.13.100.517" -16.40556055 -71.4916112 "4" "19"
"1.13.100.503" -16.4056294 -71.49126841 "4" "18"
"1.13.100.506A" -16.40582451 -71.4910996 "4" "18"
"1.13.100.521" -16.40540851 -71.49181155 "4" "19"
"1.13.100.502" -16.4056465 -71.49134746 "4" "18"
"1.13.100.518" -16.40559281 -71.49168326 "4" "19"
"1.13.100.520A" -16.40541685 -71.49192654 "4" "19"
"1.13.100.501" -16.40566387 -71.49142774 "4" "18"
"1.13.100.519" -16.40552759 -71.4918764 "4" "19"
"1.13.100.520" -16.4054471 -71.49196836 "4" "19"
"1.13.100.500" -16.40567823 -71.49152449 "4" "18"
"1.13.100.509" -16.40594836 -71.49128705 "4" "18"
"1.13.100.498" -16.40580169 -71.49149986 "4" "18"
"1.13.100.510" -16.40597013 -71.49135165 "4" "18"
"1.13.100.497" -16.40593216 -71.49144119 "4" "18"
"1.13.100.496" -16.40601728 -71.49152985 "4" "18"
"1.13.100.495" -16.40588599 -71.49164531 "4" "18"
"1.13.100.494" -16.40580283 -71.49176151 "4" "18"
"1.13.100.493" -16.40575653 -71.49182897 "4" "18"
"1.13.100.439" -16.4061454 -71.49116057 "4" "16"
"1.13.100.492" -16.40571676 -71.49189324 "4" "18"
"1.13.100.489" -16.40555327 -71.49206201 "4" "18"
"1.13.100.491" -16.40567247 -71.49196188 "4" "18"
"1.13.100.529" -16.40528114 -71.49123397 "4" "19"
"1.13.100.438" -16.40619159 -71.49127202 "4" "16"
"1.13.100.475" -16.40609775 -71.49173229 "4" "18"
"1.13.100.478" -16.40593977 -71.49187142 "4" "18"
"1.13.100.477" -16.40600929 -71.49182824 "4" "18"
"1.13.100.476" -16.4060554 -71.4917897 "4" "18"
"1.13.100.479" -16.40589105 -71.49194723 "4" "18"
"1.13.100.436" -16.40619842 -71.49137093 "4" "16"
"1.13.100.480" -16.40585931 -71.49201 "4" "18"
"1.13.100.481" -16.40580924 -71.49206832 "4" "18"
"1.13.100.482" -16.40575901 -71.49212984 "4" "18"
"1.13.100.393" -16.40774391 -71.49079383 "4" "15"
"1.13.100.484" -16.40565449 -71.4922539 "4" "18"
"1.13.100.483" -16.4057147 -71.49220864 "4" "18"
"1.13.100.403" -16.40649297 -71.49128111 "4" "16"
"1.13.100.435" -16.40622347 -71.49143218 "4" "16"
"1.13.100.394" -16.4078733 -71.49079196 "4" "15"
"1.13.100.485" -16.40563206 -71.49232281 "4" "18"
"1.13.100.486" -16.40557461 -71.49239129 "4" "18"
"1.13.100.390" -16.40750069 -71.49113308 "4" "15"
"1.13.100.395" -16.4078879 -71.49095048 "4" "15"
"1.13.100.504" -16.40561669 -71.49121331 "4" "18"
"1.13.100.396" -16.40789885 -71.49106412 "4" "15"
"1.13.100.433" -16.40630116 -71.49163988 "4" "16"
"1.13.100.397" -16.40790483 -71.49117288 "4" "15"
"1.13.100.507" -16.40586071 -71.49112404 "4" "18"
"1.13.100.432" -16.40628442 -71.49173474 "4" "16"
"1.13.100.329" -16.40810804 -71.49079997 "4" "12"
"1.13.100.330A" -16.40823201 -71.4907504 "4" "12"
"1.13.100.330" -16.40820287 -71.49077639 "4" "12"
"1.13.100.328B" -16.40813196 -71.49085436 "4" "12"
"1.13.100.407" -16.40654955 -71.49168376 "4" "16"
"1.13.100.508" -16.40589768 -71.49122475 "4" "18"
"1.13.100.328A" -16.40814158 -71.49088877 "4" "12"
"1.13.100.387" -16.40757863 -71.49162193 "4" "15"
"1.13.100.399" -16.40794353 -71.49148039 "4" "15"
"1.13.100.328" -16.40813333 -71.4909273 "4" "12"
"1.13.100.294" -16.40914919 -71.49055914 "4" "11"
"1.13.100.386" -16.40780666 -71.49158052 "4" "15"
"1.13.100.292" -16.40896858 -71.49059318 "4" "11"
"1.13.100.293" -16.40905391 -71.49058129 "4" "11"
"1.13.100.291" -16.40883479 -71.49063044 "4" "11"
"1.13.100.385" -16.40798371 -71.49154418 "4" "15"
"1.13.100.295" -16.40914554 -71.49063963 "4" "11"
"1.13.100.408" -16.40655912 -71.49177947 "4" "16"
"1.13.100.431" -16.40634719 -71.49188898 "4" "16"
"1.13.100.499" -16.40572748 -71.49160696 "4" "18"
"1.13.100.325" -16.40817321 -71.49133173 "4" "12"
"1.13.100.287" -16.40879492 -71.49097333 "4" "11"
"1.13.100.442" -16.40614331 -71.49195134 "4" "17"
"1.13.100.335" -16.40855771 -71.49112496 "4" "12"
"1.13.100.473" -16.40596514 -71.49213163 "4" "17"
"1.13.100.324A" -16.40819989 -71.49139599 "4" "12"
"1.13.100.324" -16.40819218 -71.4914382 "4" "12"
"1.13.100.410" -16.40659782 -71.4919861 "4" "16"
"1.13.100.286" -16.4087823 -71.49109206 "4" "11"
"1.13.100.472" -16.40590976 -71.49221869 "4" "17"
"1.13.100.440" -16.40613428 -71.49106414 "4" "16"
"1.13.100.298A" -16.40909325 -71.4910464 "4" "11"
"1.13.100.471" -16.40586611 -71.49229411 "4" "17"
